state,record_date,total_confirmed,cured,deaths,confirmed
Punjab,2020-03-13,1,0,0,1
Karnataka,2020-03-13,6,0,1,6
Maharashtra,2020-03-13,14,0,0,14
Andhra Pradesh,2020-03-13,1,0,0,1
Delhi,2020-03-14,7,1,1,7
Haryana,2020-03-14,14,0,0,14
Kerala,2020-03-14,19,3,0,19
Rajasthan,2020-03-14,3,1,0,3
Telangana,2020-03-14,1,0,0,1
Uttar Pradesh,2020-03-14,12,5,0,12
Ladakh,2020-03-14,3,0,0,3
Tamil Nadu,2020-03-14,1,0,0,1
Jammu and Kashmir,2020-03-14,2,0,0,2
Punjab,2020-03-14,1,0,0,1
Karnataka,2020-03-14,6,0,1,6
Maharashtra,2020-03-14,14,0,0,14
Andhra Pradesh,2020-03-14,1,0,0,1
Andhra Pradesh,2020-03-15,1,0,0,1
Delhi,2020-03-15,7,2,1,7
Haryana,2020-03-15,14,0,0,14
Karnataka,2020-03-15,6,0,1,6
Kerala,2020-03-15,22,3,0,22
Maharashtra,2020-03-15,32,0,0,32
Punjab,2020-03-15,1,0,0,1
Rajasthan,2020-03-15,4,3,0,4
Tamil Nadu,2020-03-15,1,0,0,1
Telangana,2020-03-15,3,1,0,3
Jammu and Kashmir,2020-03-15,2,0,0,2
Ladakh,2020-03-15,3,0,0,3
Uttar Pradesh,2020-03-15,13,4,0,13
Uttarakhand,2020-03-15,1,0,0,1
Andhra Pradesh,2020-03-16,1,0,0,1
Delhi,2020-03-16,7,2,1,7
Haryana,2020-03-16,14,0,0,14
Karnataka,2020-03-16,6,0,1,6
Kerala,2020-03-16,23,3,0,23
Maharashtra,2020-03-16,32,0,0,32
Odisha,2020-03-16,1,0,0,1
Punjab,2020-03-16,1,0,0,1
Rajasthan,2020-03-16,4,3,0,4
Tamil Nadu,2020-03-16,1,0,0,1
Telangana,2020-03-16,3,1,0,3
Jammu and Kashmir,2020-03-16,3,0,0,3
Ladakh,2020-03-16,4,0,0,4
Uttar Pradesh,2020-03-16,13,4,0,13
Uttarakhand,2020-03-16,1,0,0,1
Andhra Pradesh,2020-03-17,1,0,0,1
Delhi,2020-03-17,8,2,1,8
Haryana,2020-03-17,15,0,0,15
Karnataka,2020-03-17,11,0,1,11
Kerala,2020-03-17,26,3,0,26
Maharashtra,2020-03-17,39,0,1,39
Odisha,2020-03-17,1,0,0,1
Punjab,2020-03-17,1,0,0,1
Rajasthan,2020-03-17,4,3,0,4
Tamil Nadu,2020-03-17,1,0,0,1
Telangana,2020-03-17,5,1,0,5
Jammu and Kashmir,2020-03-17,3,0,0,3
Ladakh,2020-03-17,6,0,0,6
Uttar Pradesh,2020-03-17,15,5,0,15
Uttarakhand,2020-03-17,1,0,0,1
Andhra Pradesh,2020-03-18,1,0,0,1
Delhi,2020-03-18,10,2,1,10
Haryana,2020-03-18,17,0,0,17
Karnataka,2020-03-18,11,0,1,11
Kerala,2020-03-18,27,3,0,27
Maharashtra,2020-03-18,42,0,1,42
Odisha,2020-03-18,1,0,0,1
Puducherry,2020-03-18,1,0,0,1
Punjab,2020-03-18,1,0,0,1
Rajasthan,2020-03-18,4,3,0,4
Tamil Nadu,2020-03-18,1,0,0,1
Telangana,2020-03-18,6,1,0,6
Jammu and Kashmir,2020-03-18,3,0,0,3
Ladakh,2020-03-18,8,0,0,8
Uttar Pradesh,2020-03-18,16,5,0,16
Uttarakhand,2020-03-18,1,0,0,1
West Bengal,2020-03-18,1,0,0,1
Andhra Pradesh,2020-03-19,2,0,0,2
Chhattisgarh,2020-03-19,1,0,0,1
Delhi,2020-03-19,12,3,1,12
Haryana,2020-03-19,17,0,0,17
Karnataka,2020-03-19,14,0,1,14
Kerala,2020-03-19,27,3,0,27
Maharashtra,2020-03-19,47,0,1,47
Odisha,2020-03-19,1,0,0,1
Puducherry,2020-03-19,1,0,0,1
Punjab,2020-03-19,2,0,1,2
Rajasthan,2020-03-19,7,3,0,7
Tamil Nadu,2020-03-19,2,1,0,2
Telangana,2020-03-19,6,1,0,6
Chandigarh,2020-03-19,1,0,0,1
Jammu and Kashmir,2020-03-19,4,0,0,4
Ladakh,2020-03-19,8,0,0,8
Uttar Pradesh,2020-03-19,19,9,0,19
Uttarakhand,2020-03-19,1,0,0,1
West Bengal,2020-03-19,1,0,0,1
Andhra Pradesh,2020-03-20,3,0,0,3
Chhattisgarh,2020-03-20,1,0,0,1
Delhi,2020-03-20,17,5,1,17
Gujarat,2020-03-20,5,0,0,5
Haryana,2020-03-20,17,0,0,17
Karnataka,2020-03-20,15,1,1,15
Kerala,2020-03-20,28,3,0,28
Maharashtra,2020-03-20,52,0,1,52
Odisha,2020-03-20,2,0,0,2
Puducherry,2020-03-20,1,0,0,1
Punjab,2020-03-20,2,0,1,2
Rajasthan,2020-03-20,17,3,0,17
Tamil Nadu,2020-03-20,3,1,0,3
Telangana,2020-03-20,17,1,0,17
Chandigarh,2020-03-20,1,0,0,1
Jammu and Kashmir,2020-03-20,4,0,0,4
Ladakh,2020-03-20,10,0,0,10
Uttar Pradesh,2020-03-20,23,9,0,23
Uttarakhand,2020-03-20,3,0,0,3
West Bengal,2020-03-20,2,0,0,2
Andhra Pradesh,2020-03-21,3,0,0,3
Chhattisgarh,2020-03-21,1,0,0,1
Delhi,2020-03-21,26,5,1,26
Gujarat,2020-03-21,7,0,0,7
Haryana,2020-03-21,17,0,0,17
Himachal Pradesh,2020-03-21,2,0,0,2
Karnataka,2020-03-21,15,1,1,15
Kerala,2020-03-21,40,3,0,40
Madhya Pradesh,2020-03-21,4,0,0,4
Maharashtra,2020-03-21,63,0,1,63
Odisha,2020-03-21,2,0,0,2
Puducherry,2020-03-21,1,0,0,1
Punjab,2020-03-21,13,0,1,13
Rajasthan,2020-03-21,17,3,0,17
Tamil Nadu,2020-03-21,3,1,0,3
Telangana,2020-03-21,21,1,0,21
Chandigarh,2020-03-21,1,0,0,1
Jammu and Kashmir,2020-03-21,4,0,0,4
Ladakh,2020-03-21,13,0,0,13
Uttar Pradesh,2020-03-21,24,9,0,24
Uttarakhand,2020-03-21,3,0,0,3
West Bengal,2020-03-21,3,0,0,3
Andhra Pradesh,2020-03-22,5,0,0,5
Bihar,2020-03-22,2,0,1,2
Chhattisgarh,2020-03-22,1,0,0,1
Delhi,2020-03-22,29,5,1,29
Gujarat,2020-03-22,18,0,1,18
Haryana,2020-03-22,21,0,0,21
Himachal Pradesh,2020-03-22,2,0,0,2
Karnataka,2020-03-22,26,2,1,26
Kerala,2020-03-22,52,3,0,52
Madhya Pradesh,2020-03-22,4,0,0,4
Maharashtra,2020-03-22,67,0,2,67
Odisha,2020-03-22,2,0,0,2
Puducherry,2020-03-22,1,0,0,1
Punjab,2020-03-22,21,0,1,21
Rajasthan,2020-03-22,24,3,0,24
Tamil Nadu,2020-03-22,7,1,0,7
Telangana,2020-03-22,22,1,0,22
Chandigarh,2020-03-22,5,0,0,5
Jammu and Kashmir,2020-03-22,4,0,0,4
Ladakh,2020-03-22,13,0,0,13
Uttar Pradesh,2020-03-22,27,9,0,27
Uttarakhand,2020-03-22,3,0,0,3
West Bengal,2020-03-22,4,0,0,4
Andhra Pradesh,2020-03-23,7,0,0,7
Bihar,2020-03-23,2,0,1,2
Chhattisgarh,2020-03-23,1,0,0,1
Delhi,2020-03-23,29,5,1,29
Gujarat,2020-03-23,29,0,1,29
Haryana,2020-03-23,26,0,0,26
Himachal Pradesh,2020-03-23,2,0,0,2
Karnataka,2020-03-23,33,2,1,33
Kerala,2020-03-23,67,3,0,67
Madhya Pradesh,2020-03-23,6,0,0,6
Maharashtra,2020-03-23,74,0,2,74
Odisha,2020-03-23,2,0,0,2
Puducherry,2020-03-23,1,0,0,1
Punjab,2020-03-23,21,0,1,21
Rajasthan,2020-03-23,28,3,0,28
Tamil Nadu,2020-03-23,9,1,0,9
Telangana,2020-03-23,32,1,0,32
Chandigarh,2020-03-23,6,0,0,6
Jammu and Kashmir,2020-03-23,4,0,0,4
Ladakh,2020-03-23,13,0,0,13
Uttar Pradesh,2020-03-23,31,9,0,31
Uttarakhand,2020-03-23,3,0,0,3
West Bengal,2020-03-23,7,0,0,7
Andhra Pradesh,2020-03-24,8,0,0,8
Bihar,2020-03-24,3,0,1,3
Chhattisgarh,2020-03-24,1,0,0,1
Delhi,2020-03-24,30,6,1,30
Gujarat,2020-03-24,33,0,1,33
Haryana,2020-03-24,28,11,0,28
Himachal Pradesh,2020-03-24,3,0,1,3
Karnataka,2020-03-24,37,3,1,37
Kerala,2020-03-24,95,4,0,95
Madhya Pradesh,2020-03-24,7,0,0,7
Maharashtra,2020-03-24,89,0,2,89
Manipur,2020-03-24,1,0,0,1
Odisha,2020-03-24,2,0,0,2
Puducherry,2020-03-24,1,0,0,1
Punjab,2020-03-24,29,0,1,29
Rajasthan,2020-03-24,32,3,0,32
Tamil Nadu,2020-03-24,15,1,0,15
Telangana,2020-03-24,35,1,0,35
Chandigarh,2020-03-24,7,0,0,7
Jammu and Kashmir,2020-03-24,4,0,0,4
Ladakh,2020-03-24,13,0,0,13
Uttar Pradesh,2020-03-24,33,11,0,33
Uttarakhand,2020-03-24,4,0,0,4
West Bengal,2020-03-24,9,0,1,9
Andhra Pradesh,2020-03-25,9,1,0,9
Bihar,2020-03-25,4,0,1,4
Chhattisgarh,2020-03-25,1,0,0,1
Delhi,2020-03-25,31,6,1,31
Gujarat,2020-03-25,38,0,1,38
Haryana,2020-03-25,28,11,0,28
Himachal Pradesh,2020-03-25,3,0,1,3
Karnataka,2020-03-25,41,3,1,41
Kerala,2020-03-25,109,4,0,109
Madhya Pradesh,2020-03-25,14,0,0,14
Maharashtra,2020-03-25,128,1,3,128
Manipur,2020-03-25,1,0,0,1
Mizoram,2020-03-25,1,0,0,1
Odisha,2020-03-25,2,0,0,2
Puducherry,2020-03-25,1,0,0,1
Punjab,2020-03-25,29,0,1,29
Rajasthan,2020-03-25,36,3,0,36
Tamil Nadu,2020-03-25,18,1,0,18
Telangana,2020-03-25,35,1,0,35
Chandigarh,2020-03-25,7,0,0,7
Jammu and Kashmir,2020-03-25,7,1,0,7
Ladakh,2020-03-25,13,0,0,13
Uttar Pradesh,2020-03-25,37,11,0,37
Uttarakhand,2020-03-25,4,0,0,4
West Bengal,2020-03-25,9,0,1,9
Andaman and Nicobar Islands,2020-03-26,1,0,0,1
Andhra Pradesh,2020-03-26,11,1,0,11
Bihar,2020-03-26,6,0,1,6
Chandigarh,2020-03-26,7,0,0,7
Chhattisgarh,2020-03-26,6,0,0,6
Delhi,2020-03-26,36,6,1,36
Goa,2020-03-26,3,0,0,3
Gujarat,2020-03-26,43,0,3,43
Haryana,2020-03-26,30,11,0,30
Himachal Pradesh,2020-03-26,3,0,1,3
Jammu and Kashmir,2020-03-26,13,1,0,13
Karnataka,2020-03-26,55,3,2,55
Kerala,2020-03-26,118,6,0,118
Ladakh,2020-03-26,13,0,0,13
Madhya Pradesh,2020-03-26,20,0,1,20
Maharashtra,2020-03-26,124,1,3,124
Manipur,2020-03-26,1,0,0,1
Mizoram,2020-03-26,1,0,0,1
Odisha,2020-03-26,2,0,0,2
Puducherry,2020-03-26,1,0,0,1
Punjab,2020-03-26,33,0,1,33
Rajasthan,2020-03-26,41,3,0,41
Tamil Nadu,2020-03-26,26,1,1,26
Telangana,2020-03-26,44,1,0,44
Uttarakhand,2020-03-26,5,0,0,5
Uttar Pradesh,2020-03-26,41,11,0,41
West Bengal,2020-03-26,10,0,1,10
Andaman and Nicobar Islands,2020-03-27,1,0,0,1
Andhra Pradesh,2020-03-27,12,1,0,12
Bihar,2020-03-27,6,0,1,6
Chandigarh,2020-03-27,7,0,0,7
Chhattisgarh,2020-03-27,6,0,0,6
Delhi,2020-03-27,36,6,1,36
Goa,2020-03-27,3,0,0,3
Gujarat,2020-03-27,43,0,3,43
Haryana,2020-03-27,30,11,0,30
Himachal Pradesh,2020-03-27,3,0,1,3
Jammu and Kashmir,2020-03-27,13,1,1,13
Karnataka,2020-03-27,55,3,2,55
Kerala,2020-03-27,137,11,0,137
Ladakh,2020-03-27,13,3,0,13
Madhya Pradesh,2020-03-27,20,0,1,20
Maharashtra,2020-03-27,130,15,4,130
Manipur,2020-03-27,1,0,0,1
Mizoram,2020-03-27,1,0,0,1
Odisha,2020-03-27,2,0,0,2
Puducherry,2020-03-27,1,0,0,1
Punjab,2020-03-27,33,0,1,33
Rajasthan,2020-03-27,41,3,0,41
Tamil Nadu,2020-03-27,29,1,1,29
Telangana,2020-03-27,45,1,0,45
Uttarakhand,2020-03-27,5,0,0,5
Uttar Pradesh,2020-03-27,41,11,0,41
West Bengal,2020-03-27,10,0,1,10
Andhra Pradesh,2020-03-28,14,1,0,14
Andaman and Nicobar Islands,2020-03-28,6,0,0,6
Bihar,2020-03-28,9,0,1,9
Chandigarh,2020-03-28,8,0,0,8
Chhattisgarh,2020-03-28,6,0,0,6
Delhi,2020-03-28,39,6,1,39
Goa,2020-03-28,3,0,0,3
Gujarat,2020-03-28,45,0,3,45
Haryana,2020-03-28,33,12,0,33
Himachal Pradesh,2020-03-28,3,0,1,3
Jammu and Kashmir,2020-03-28,20,1,1,20
Karnataka,2020-03-28,55,3,2,55
Kerala,2020-03-28,176,11,0,176
Ladakh,2020-03-28,13,3,0,13
Madhya Pradesh,2020-03-28,30,0,2,30
Maharashtra,2020-03-28,180,25,5,180
Manipur,2020-03-28,1,0,0,1
Mizoram,2020-03-28,1,0,0,1
Odisha,2020-03-28,3,0,0,3
Puducherry,2020-03-28,1,0,0,1
Punjab,2020-03-28,38,1,1,38
Rajasthan,2020-03-28,54,3,0,54
Tamil Nadu,2020-03-28,40,2,1,40
Telangana,2020-03-28,56,1,0,56
Uttarakhand,2020-03-28,5,0,0,5
Uttar Pradesh,2020-03-28,55,11,0,55
West Bengal,2020-03-28,15,0,1,15
Andhra Pradesh,2020-03-29,0,1,0,19
Andaman and Nicobar Islands,2020-03-29,0,0,0,9
Bihar,2020-03-29,0,0,1,11
Chandigarh,2020-03-29,0,0,0,8
Chhattisgarh,2020-03-29,0,0,0,7
Delhi,2020-03-29,0,6,2,49
Goa,2020-03-29,0,0,0,5
Gujarat,2020-03-29,0,1,5,58
Haryana,2020-03-29,0,17,0,33
Himachal Pradesh,2020-03-29,0,0,1,3
Jammu and Kashmir,2020-03-29,0,1,2,31
Karnataka,2020-03-29,0,5,3,76
Kerala,2020-03-29,0,15,1,182
Ladakh,2020-03-29,0,3,0,13
Madhya Pradesh,2020-03-29,0,0,2,30
Maharashtra,2020-03-29,0,25,6,186
Manipur,2020-03-29,0,0,0,1
Mizoram,2020-03-29,0,0,0,1
Odisha,2020-03-29,0,0,0,3
Puducherry,2020-03-29,0,0,0,1
Punjab,2020-03-29,0,1,1,38
Rajasthan,2020-03-29,0,3,0,55
Tamil Nadu,2020-03-29,0,4,1,49
Telangana,2020-03-29,0,1,1,66
Uttarakhand,2020-03-29,0,2,0,7
Uttar Pradesh,2020-03-29,0,11,0,65
West Bengal,2020-03-29,0,0,1,18
Andhra Pradesh,2020-03-30,0,1,0,23
Andaman and Nicobar Islands,2020-03-30,0,0,0,9
Bihar,2020-03-30,0,0,1,15
Chandigarh,2020-03-30,0,0,0,8
Chhattisgarh,2020-03-30,0,0,0,7
Delhi,2020-03-30,0,6,2,87
Goa,2020-03-30,0,0,0,5
Gujarat,2020-03-30,0,1,6,69
Haryana,2020-03-30,0,18,0,36
Himachal Pradesh,2020-03-30,0,0,1,3
Jammu and Kashmir,2020-03-30,0,2,2,48
Karnataka,2020-03-30,0,5,3,83
Kerala,2020-03-30,0,19,1,202
Ladakh,2020-03-30,0,3,0,13
Madhya Pradesh,2020-03-30,0,0,3,47
Maharashtra,2020-03-30,0,25,8,198
Manipur,2020-03-30,0,0,0,1
Mizoram,2020-03-30,0,0,0,1
Odisha,2020-03-30,0,0,0,3
Puducherry,2020-03-30,0,0,0,1
Punjab,2020-03-30,0,1,1,38
Rajasthan,2020-03-30,0,3,0,59
Tamil Nadu,2020-03-30,0,4,1,67
Telangana,2020-03-30,0,1,1,71
Uttarakhand,2020-03-30,0,2,0,7
Uttar Pradesh,2020-03-30,0,11,0,82
West Bengal,2020-03-30,0,0,1,22
Andhra Pradesh,2020-03-31,0,1,0,40
Andaman and Nicobar Islands,2020-03-31,0,0,0,10
Bihar,2020-03-31,0,0,1,15
Chandigarh,2020-03-31,0,0,0,13
Chhattisgarh,2020-03-31,0,0,0,8
Delhi,2020-03-31,0,6,2,97
Goa,2020-03-31,0,0,0,5
Gujarat,2020-03-31,0,3,6,73
Haryana,2020-03-31,0,21,0,40
Himachal Pradesh,2020-03-31,0,0,1,3
Jammu and Kashmir,2020-03-31,0,2,2,54
Karnataka,2020-03-31,0,5,3,83
Kerala,2020-03-31,0,19,1,234
Ladakh,2020-03-31,0,3,0,13
Madhya Pradesh,2020-03-31,0,0,3,47
Maharashtra,2020-03-31,0,39,9,216
Manipur,2020-03-31,0,0,0,1
Mizoram,2020-03-31,0,0,0,1
Odisha,2020-03-31,0,0,0,3
Puducherry,2020-03-31,0,0,0,1
Punjab,2020-03-31,0,1,3,41
Rajasthan,2020-03-31,0,3,0,74
Tamil Nadu,2020-03-31,0,4,1,74
Telangana,2020-03-31,0,1,1,79
Uttarakhand,2020-03-31,0,2,0,7
Uttar Pradesh,2020-03-31,0,14,0,101
West Bengal,2020-03-31,0,0,2,26
Andhra Pradesh,2020-04-01,0,1,0,83
Andaman and Nicobar Islands,2020-04-01,0,0,0,10
Assam,2020-04-01,0,0,0,1
Bihar,2020-04-01,0,0,1,23
Chandigarh,2020-04-01,0,0,0,16
Chhattisgarh,2020-04-01,0,2,0,9
Delhi,2020-04-01,0,6,2,152
Goa,2020-04-01,0,0,0,5
Gujarat,2020-04-01,0,5,6,82
Haryana,2020-04-01,0,21,0,43
Himachal Pradesh,2020-04-01,0,0,1,3
Jammu and Kashmir,2020-04-01,0,2,2,62
Jharkhand,2020-04-01,0,0,0,1
Karnataka,2020-04-01,0,8,3,101
Kerala,2020-04-01,0,23,2,241
Ladakh,2020-04-01,0,3,0,13
Madhya Pradesh,2020-04-01,0,0,3,66
Maharashtra,2020-04-01,0,39,9,302
Manipur,2020-04-01,0,0,0,1
Mizoram,2020-04-01,0,0,0,1
Odisha,2020-04-01,0,0,0,4
Puducherry,2020-04-01,0,1,0,3
Punjab,2020-04-01,0,1,3,42
Rajasthan,2020-04-01,0,3,0,93
Tamil Nadu,2020-04-01,0,6,1,234
Telangana,2020-04-01,0,1,3,96
Uttarakhand,2020-04-01,0,2,0,7
Uttar Pradesh,2020-04-01,0,14,2,103
West Bengal,2020-04-01,0,6,3,37
Andhra Pradesh,2020-04-02,0,1,1,86
Andaman and Nicobar Islands,2020-04-02,0,0,0,10
Assam,2020-04-02,0,0,0,5
Bihar,2020-04-02,0,0,1,24
Chandigarh,2020-04-02,0,0,0,16
Chhattisgarh,2020-04-02,0,2,0,9
Delhi,2020-04-02,0,8,4,219
Goa,2020-04-02,0,0,0,5
Gujarat,2020-04-02,0,8,7,87
Haryana,2020-04-02,0,21,0,43
Himachal Pradesh,2020-04-02,0,1,1,3
Jammu and Kashmir,2020-04-02,0,2,2,62
Jharkhand,2020-04-02,0,0,0,1
Karnataka,2020-04-02,0,9,3,110
Kerala,2020-04-02,0,25,2,265
Ladakh,2020-04-02,0,3,0,13
Madhya Pradesh,2020-04-02,0,0,6,99
Maharashtra,2020-04-02,0,42,13,335
Manipur,2020-04-02,0,0,0,1
Mizoram,2020-04-02,0,0,0,1
Odisha,2020-04-02,0,0,0,4
Puducherry,2020-04-02,0,1,0,3
Punjab,2020-04-02,0,1,4,46
Rajasthan,2020-04-02,0,3,0,108
Tamil Nadu,2020-04-02,0,6,1,234
Telangana,2020-04-02,0,1,3,107
Uttarakhand,2020-04-02,0,2,0,7
Uttar Pradesh,2020-04-02,0,14,2,113
West Bengal,2020-04-02,0,6,3,53
Andhra Pradesh,2020-04-03,0,1,1,132
Andaman and Nicobar Islands,2020-04-03,0,0,0,10
Arunachal Pradesh,2020-04-03,0,0,0,1
Assam,2020-04-03,0,0,0,16
Bihar,2020-04-03,0,0,1,29
Chandigarh,2020-04-03,0,0,0,18
Chhattisgarh,2020-04-03,0,3,0,9
Delhi,2020-04-03,0,8,4,219
Goa,2020-04-03,0,0,0,6
Gujarat,2020-04-03,0,10,8,95
Haryana,2020-04-03,0,24,0,49
Himachal Pradesh,2020-04-03,0,1,1,6
Jammu and Kashmir,2020-04-03,0,3,2,75
Jharkhand,2020-04-03,0,0,0,2
Karnataka,2020-04-03,0,10,3,124
Kerala,2020-04-03,0,27,2,286
Ladakh,2020-04-03,0,3,0,14
Madhya Pradesh,2020-04-03,0,0,6,104
Maharashtra,2020-04-03,0,42,16,335
Manipur,2020-04-03,0,0,0,2
Mizoram,2020-04-03,0,0,0,1
Odisha,2020-04-03,0,0,0,5
Puducherry,2020-04-03,0,1,0,5
Punjab,2020-04-03,0,1,5,48
Rajasthan,2020-04-03,0,3,0,167
Tamil Nadu,2020-04-03,0,6,1,309
Telangana,2020-04-03,0,1,7,158
Uttarakhand,2020-04-03,0,2,0,10
Uttar Pradesh,2020-04-03,0,14,2,172
West Bengal,2020-04-03,0,3,3,63
Andhra Pradesh,2020-04-04,0,1,1,161
Andaman and Nicobar Islands,2020-04-04,0,0,0,10
Arunachal Pradesh,2020-04-04,0,0,0,1
Assam,2020-04-04,0,0,0,24
Bihar,2020-04-04,0,0,1,30
Chandigarh,2020-04-04,0,0,0,18
Chhattisgarh,2020-04-04,0,3,0,9
Delhi,2020-04-04,0,15,6,445
Goa,2020-04-04,0,0,0,7
Gujarat,2020-04-04,0,14,10,105
Haryana,2020-04-04,0,24,0,49
Himachal Pradesh,2020-04-04,0,1,1,6
Jammu and Kashmir,2020-04-04,0,3,2,75
Jharkhand,2020-04-04,0,0,0,2
Karnataka,2020-04-04,0,12,3,128
Kerala,2020-04-04,0,41,2,295
Ladakh,2020-04-04,0,3,0,14
Madhya Pradesh,2020-04-04,0,0,6,104
Maharashtra,2020-04-04,0,42,24,490
Manipur,2020-04-04,0,0,0,2
Mizoram,2020-04-04,0,0,0,1
Odisha,2020-04-04,0,0,0,5
